,No,SR,Township,Case,Tested,PUI,M,F,Child,Adult,Confirmed,Death,Recovered,Latitude,Longitude,FID
0,3,Yangon Region,Insein Township,"3, 6, 34, 35, 36, 37, 38, 40, 54, 55, 56, 58, 59, 61, 72, 73, 84",,,10,7,1,16,17,0,0,16.901771,96.095959,3
1,7,Yangon Region,Bahan Township,"8, 11, 12, 13, 15, 25, 28, 41, 42, 46, 71, 79",,,5,7,0,12,12,0,0,16.815427,96.156112,7
2,12,Yangon Region,South Okkalapa Township,"21, 22, 44, 47, 48, 49, 50, 51, 52",,,3,6,0,9,9,0,0,16.846249,96.179859,12
3,13,Yangon Region,Mayangone Township,"24, 43, 45, 62, 63, 70",,,4,2,0,6,6,0,0,16.86619,96.142611,13
4,20,Yangon Region,Pabedan Township,"39, 65, 66, 67, 68",,,2,3,0,5,5,1,0,16.776983,96.15601,20
5,1,Chin State,Tedim Township,"1, 23, 31, 78",3236.0,1503.0,2,2,0,4,4,0,0,23.37058,93.65619,1
6,11,Bago Region,Paukkhaung Township,"17, 18, 19, 20",,,2,2,2,2,4,1,0,18.9028,95.54819,11
7,14,Yangon Region,Hlaingtharya Township,"26, 63, 80, 81",,,2,2,0,4,4,0,0,16.85402,96.06893,14
8,19,Yangon Region,Shwepyithar,"33, 57, 60",,,1,2,0,3,3,0,0,16.95504,96.08329,19
9,5,Yangon Region,Mingalartaungnyunt Township,"5, 10",,,2,0,0,2,2,1,0,16.788908,96.16785899999999,5
10,10,Yangon Region,North Okkalapa Township,"16, 75",,,0,2,0,2,2,1,0,16.918775,96.163028,10
11,2,Yangon Region,Botahtaung Township,2,,,1,0,0,1,1,0,0,16.771967,96.169709,2
12,4,Mandalay Region,Chanmyathazi Township,4,,,1,0,0,1,1,0,1,21.939404,96.095838,4
13,6,Naypyitaw,Za Bu Thi Ri Township,7,,,0,1,0,1,1,0,1,19.76867364,96.07260872,6
14,8,Yangon Region,Mingaladon Township,9,,,1,0,0,1,1,0,0,16.94914,96.12795,8
15,9,Shan (North) State,Kyaukme Township,14,,,1,0,0,1,1,0,0,22.54172,97.03671,9
16,15,Mon State,Kyaikmaraw Township,27,,,0,1,0,1,1,0,0,16.37045,97.72411,15
17,16,Shan (South) State,Taunggyi Township,29,,,1,0,0,1,1,0,0,20.77477,97.03598,16
18,17,Bago Region,Pyay Township,30,,,0,1,0,1,1,0,0,18.82151,95.22103,17
19,18,Yangon Region,Hlegu Township,32,,,1,0,0,1,1,0,0,17.09875,96.22745,18
20,21,Mangway Region,Myothit Township,53,,,1,0,0,1,1,0,0,20.19919,95.44692,21
21,22,Shan (East) State,Monghpyak Township,64,,,1,0,0,1,1,0,0,20.87804,99.92333,22
22,23,Sagaing Region,Kale Township,74,,,0,1,0,1,1,0,0,23.1933,94.02977,23
23,24,Yangon Region,Ahlone Township,76,,,1,0,0,1,1,0,0,16.782398,96.127863,24
24,25,Yangon Region,Sanchaung Township,77,,,0,1,0,1,1,0,0,16.803809,96.137291,25
25,26,Mandalay Region,Aungmyaythazan Township,82,,,0,1,0,1,1,0,0,21.993206,96.096861,26
26,27,Yangon Region,Pazundaung Township,83,,,1,0,0,1,1,0,0,16.779648,96.174392,27
27,28,Yangon Region,Dagon Myothit (South) Township,84,,,1,0,0,1,1,0,0,16.84016,96.22582,28
